paperTitle	citedPaperTitle
"Gauging" the Fluid	Nonlinear Realization of a Dynamical Poincare Symmetry by a
"Gauging" the Fluid	Galileo invariant system and the motion of relativistic d-branes
"Integrating in" and Effective Lagrangian for Non-Supersymmetric	INSTANTON CALCULATIONS VERSUS EXACT RESULTS IN 4 DIMENSIONAL SUSY GAUGE
"Integrating in" and Effective Lagrangian for Non-Supersymmetric	Softly Broken MQCD and the Theta Angle
(0,2) Landau-Ginzburg Theory	NULL
(0,2) string compactifications	Landau-Ginzburg String Vacua
(0,2) string compactifications	Simple currents versus orbifolds with discrete torsion -- a complete
(0,2) string compactifications	(0,2) Landau-Ginzburg Theory
(0,2) string compactifications	The (0,2) Exactly Solvable Structure of Chiral Rings, Landau-Ginzburg
(0,2) string compactifications	Exploring the Moduli Space of (0,2) Strings
(1,9)-spacetime --> (1,3)-spacetime: Reduction => U(1)xSU(2)xSU(3)	NULL
(2+1)-Gravity Solutions with Spinning Particles	Gravity in 2+1 dimensions as a Riemann-Hilbert problem
(2,0) Tensor Multiplets and Conformal Supergravity in D=6	NULL
(Anti-)Instantons and the Atiyah-Hitchin Manifold	Three Dimensional Gauge Theories and Monopoles
(Anti-)Instantons and the Atiyah-Hitchin Manifold	Type IIB Superstrings, BPS Monopoles, And Three-Dimensional Gauge
(Anti-)Instantons and the Atiyah-Hitchin Manifold	Matrix String Theory
(Anti-)Instantons and the Atiyah-Hitchin Manifold	Instanton Effects in Three-Dimensional Supersymmetric Gauge Theories
(Constrained) Quantization Without Tears	NULL
(D+1)-Dimensional Formulation for D-Dimensional Constrained Systems	NULL
(De)Constructing Dimensions	NULL
(Generalized) Conformal Quantum Mechanics of 0-Branes and	Another Conjecture about M(atrix) Theory
(Generalized) Conformal Quantum Mechanics of 0-Branes and	The Large N Limit of Superconformal Field Theories and Supergravity
(Generalized) Conformal Quantum Mechanics of 0-Branes and	Anti-de Sitter space, branes, singletons, superconformal field theories
(Generalized) Conformal Quantum Mechanics of 0-Branes and	Superconformal mechanics, black holes, and non-linear realizations
(Non) singular Kantowski-Sachs Universe from quantum spherically reduced	Dilaton Quantum Cosmology in Two Dimensions
(Non) singular Kantowski-Sachs Universe from quantum spherically reduced	Covariant Effective Action and One-Loop Renormalization of 2D Dilaton
(Non) singular Kantowski-Sachs Universe from quantum spherically reduced	Weyl Anomaly of 2D Dilaton-Scalar Gravity and Hermiticity of System
(Non) singular Kantowski-Sachs Universe from quantum spherically reduced	Four-dimensional cosmology from dilaton coupled quantum matter in two
(Non) singular Kantowski-Sachs Universe from quantum spherically reduced	Quantum (in)stability of 2D charged dilaton black holes and 3D rotating
(Non-)Abelian Gauged Supergravities in Nine Dimensions	Supersymmetry of Massive D=9 Supergravity
(Non-)Abelian Gauged Supergravities in Nine Dimensions	Superconformal N=2, D=5 matter with and without actions
(Non-)Abelian Gauged Supergravities in Nine Dimensions	Duality of Type II 7-branes and 8-branes
(Non-)Abelian Gauged Supergravities in Nine Dimensions	Gauged Supergravity from Dimensional Reduction
(Non-)Abelian Gauged Supergravities in Nine Dimensions	Massive Branes
(Non-)Abelian Gauged Supergravities in Nine Dimensions	An Sl(2,Z) Multiplet of Nine-Dimensional Type II Supergravity Theories
(p + 1)-Dimensional Noncommutative Yang-Mills and D(p - 2) Branes	D0 Branes on T^n and Matrix Theory
(p + 1)-Dimensional Noncommutative Yang-Mills and D(p - 2) Branes	D-branes and the Noncommutative Torus
(p + 1)-Dimensional Noncommutative Yang-Mills and D(p - 2) Branes	Holography and Noncommutative Yang-Mills
(p + 1)-Dimensional Noncommutative Yang-Mills and D(p - 2) Branes	Supergravity and Large N Noncommutative Field Theories
(Super)conformal many-body quantum mechanics with extended supersymmetry	Exact Solvability of the Calogero and Sutherland Models
(Super)conformal many-body quantum mechanics with extended supersymmetry	The Large N Limit of Superconformal Field Theories and Supergravity
(Super)conformal many-body quantum mechanics with extended supersymmetry	Superconformal mechanics, black holes, and non-linear realizations
(Super)conformal many-body quantum mechanics with extended supersymmetry	Extended Supersymmetric Quantum Mechanics
(Super)Oscillator on CP(N) and Constant Magnetic Field	Hydrogen Atom Spectrum and the Lamb Shift in Noncommutative QED
(Super)Oscillator on CP(N) and Constant Magnetic Field	Non-Commutative Quantum Mechanics
(Super)Oscillator on CP(N) and Constant Magnetic Field	A note on N=4 supersymmetric mechanics on K"ahler manifolds
(Super)Oscillator on CP(N) and Constant Magnetic Field	K"ahler geometry and SUSY mechanics
(Super)Oscillator on CP(N) and Constant Magnetic Field	A Novel Approach to Noncommutativity in Planar Quantum Mechanics
(Super)Oscillator on CP(N) and Constant Magnetic Field	Landau Levels in the noncommutative AdS_2
(Super)Oscillator on CP(N) and Constant Magnetic Field	``Charge-Dyon" System As The Reduced Oscillator
(Super)Oscillator on CP(N) and Constant Magnetic Field	8D oscillator as a hidden SU(2) - monopole
(Twisted) Toroidal Compactification of pp-Waves	Dont Panic! Closed String Tachyons in ALE Spacetimes
(Twisted) Toroidal Compactification of pp-Waves	tt* Geometry and Closed String Tachyon Potential
(Twisted) Toroidal Compactification of pp-Waves	Closed String Tachyons and Semi-Classical Instabilities
(Twisted) Toroidal Compactification of pp-Waves	Baryon Spectra and AdS/CFT Correspondence
(Twisted) Toroidal Compactification of pp-Waves	From Super-AdS_5xS^5 Algebra to Super-pp-wave Algebra
(Twisted) Toroidal Compactification of pp-Waves	Superstring on PP-Wave Orbifold from Large-N Quiver Gauge Theory
(Twisted) Toroidal Compactification of pp-Waves	Pair Creation of Dilaton Black Holes
(Twisted) Toroidal Compactification of pp-Waves	Closed strings in uniform magnetic field backgrounds
(Twisted) Toroidal Compactification of pp-Waves	AdS/CFT Correspondence and Quotient Space Geometry
(Twisted) Toroidal Compactification of pp-Waves	Branes, Waves and AdS Orbifolds
*-Products on Quantum Spaces	Noncommutative gauge theory for Poisson manifolds
*-Products on Quantum Spaces	Towards Finite Quantum Field Theory in Non-Commutative Geometry
*-Trek II: *_n Operations, Open Wilson Lines and the Seiberg-Witten Map	Noncommutative gauge theory for Poisson manifolds
*-Trek II: *_n Operations, Open Wilson Lines and the Seiberg-Witten Map	Observables of Non-Commutative Gauge Theories
*-Trek II: *_n Operations, Open Wilson Lines and the Seiberg-Witten Map	*-TREK: The One-Loop N=4 Noncommutative SYM Action
*-Trek II: *_n Operations, Open Wilson Lines and the Seiberg-Witten Map	One-loop four-point function in noncommutative {cal N}=4 Yang-Mills
*-Trek II: *_n Operations, Open Wilson Lines and the Seiberg-Witten Map	On non-abelian generalisation of Born-Infeld action in string theory
*-Trek II: *_n Operations, Open Wilson Lines and the Seiberg-Witten Map	D-branes and the Noncommutative Torus
*-Trek II: *_n Operations, Open Wilson Lines and the Seiberg-Witten Map	Open Strings in a B-field Background as Electric Dipoles
*-Trek II: *_n Operations, Open Wilson Lines and the Seiberg-Witten Map	D-branes and Deformation Quantization
*-Trek II: *_n Operations, Open Wilson Lines and the Seiberg-Witten Map	Instantons in the U(1) Born-Infeld Theory and Noncommutative Gauge
*-TREK: The One-Loop N=4 Noncommutative SYM Action	The IR/UV Connection in the Non-Commutative Gauge Theories
*-TREK: The One-Loop N=4 Noncommutative SYM Action	UV/IR Mixing in Noncommutative Field Theory via Open String Loops
*-TREK: The One-Loop N=4 Noncommutative SYM Action	String Theory and Noncommutative Field Theories at One Loop
*-TREK: The One-Loop N=4 Noncommutative SYM Action	Noncommutative Gauge Dynamics From The String Worldsheet
*-TREK: The One-Loop N=4 Noncommutative SYM Action	Strings in Background Electric Field, Space/Time Noncommutativity and A
*-TREK: The One-Loop N=4 Noncommutative SYM Action	Noncommutative geometry and physics: a review of selected recent results
*-TREK: The One-Loop N=4 Noncommutative SYM Action	1+1 Dimensional NCOS and its U(N) Gauge Theory Dual
*-TREK: The One-Loop N=4 Noncommutative SYM Action	Convergence Theorem for Non-commutative Feynman Graphs and
*-TREK: The One-Loop N=4 Noncommutative SYM Action	Interactions of type IIB D-branes from D-instanton matrix model
*-TREK: The One-Loop N=4 Noncommutative SYM Action	D-branes and the Noncommutative Torus
*-TREK: The One-Loop N=4 Noncommutative SYM Action	Branes in the bulk of Anti-de Sitter space
*-TREK: The One-Loop N=4 Noncommutative SYM Action	Open Strings in a B-field Background as Electric Dipoles
*-TREK: The One-Loop N=4 Noncommutative SYM Action	D-branes and Deformation Quantization
``Charge-Dyon" System As The Reduced Oscillator	NULL
``N=4: A Unifying Framework for 2d Topological Gravity, c_Mleq 1	Extended N=2 Superconformal Structure of Gravity and W-Gravity Coupled
``Non chiral primary superfields in the AdS_{d+1}/CFT_d correspondence	Non-Perturbative Greens Functions in Theories with Extended
``Non chiral primary superfields in the AdS_{d+1}/CFT_d correspondence	Operator product expansions in four-dimensional superconformal field
``Non chiral primary superfields in the AdS_{d+1}/CFT_d correspondence	Enhancement of Supersymmetry Near 5d Black Hole Horizon
``Non chiral primary superfields in the AdS_{d+1}/CFT_d correspondence	Superconformal Invariants and Extended Supersymmetry
``Non chiral primary superfields in the AdS_{d+1}/CFT_d correspondence	The Large N Limit of Superconformal Field Theories and Supergravity
``Non chiral primary superfields in the AdS_{d+1}/CFT_d correspondence	Anti De Sitter Space And Holography
``Non chiral primary superfields in the AdS_{d+1}/CFT_d correspondence	N=1,2 4D Superconformal Field Theories and Supergravity in AdS_5
``Non chiral primary superfields in the AdS_{d+1}/CFT_d correspondence	Non-perturbative Effects in AdS5 * S5 String Theory and d=4 SUSY
``Non chiral primary superfields in the AdS_{d+1}/CFT_d correspondence	Higher Spin N=8 Supergravity
``Non chiral primary superfields in the AdS_{d+1}/CFT_d correspondence	Bulk Gauge Fields in AdS Supergravity and Supersingletons
``Non chiral primary superfields in the AdS_{d+1}/CFT_d correspondence	The Osp(8|4) singleton action from the supermembrane
{cal N}=1 Theories and a Geometric Master Field	Matrix Models, Topological Strings, and Supersymmetric Gauge Theories
{cal N}=1 Theories and a Geometric Master Field	Matrix models vs. Seiberg-Witten/Whitham theories
{cal N}=1 Theories and a Geometric Master Field	On exact superpotentials in confining vacua
{cal N}=1 Theories and a Geometric Master Field	Exact superpotentials in N=1 theories with flavor and their matrix model
{cal N}=1 Theories and a Geometric Master Field	Stochastic Master Fields
{cal N}=1 Theories and a Geometric Master Field	The Large N Limit of Superconformal Field Theories and Supergravity
{cal W}-Gauge Structures and their Anomalies:An Algebraic Approach	W-symmetry in Conformal Field Theory
{cal W}-Gauge Structures and their Anomalies:An Algebraic Approach	Lectures on W-Gravity, W-Geometry and W-Strings
~N=2~ Superstring Theory Generates Supersymmetric Chern-Simons	Supersymmetric Self-Dual Yang-Mills and Supergravity as Background of
1+1 Dimensional NCOS and its U(N) Gauge Theory Dual	Space/Time Non-Commutativity and Causality
1+1 Dimensional NCOS and its U(N) Gauge Theory Dual	Strings in Background Electric Field, Space/Time Noncommutativity and A
1+1 Dimensional NCOS and its U(N) Gauge Theory Dual	Bound States Of Strings And p-Branes
1+1 Dimensional NCOS and its U(N) Gauge Theory Dual	Matrix String Theory
1/N corrections to anomalies and the AdS/CFT correspondence for	Elliptic Models, Type IIB Orientifolds and the Ads/CFT Correspondence
1/N corrections to anomalies and the AdS/CFT correspondence for	Universality of the Operator Product Expansions of SCFT_4
1/N corrections to anomalies and the AdS/CFT correspondence for	The Large N Limit of Superconformal Field Theories and Supergravity
1/N corrections to anomalies and the AdS/CFT correspondence for	Anti De Sitter Space And Holography
1/N corrections to anomalies and the AdS/CFT correspondence for	On Conformal Theories in Four Dimensions
1/N corrections to anomalies and the AdS/CFT correspondence for	Superconformal Field Theory on Threebranes at a Calabi-Yau Singularity
1/N corrections to anomalies and the AdS/CFT correspondence for	Strong Coupling Limit of {cal N}=2 SCFT Free Energy and Higher
10 = 6 + 4	(1,9)-spacetime --> (1,3)-spacetime: Reduction => U(1)xSU(2)xSU(3)
1992 Trieste Lectures on Topological Gauge Theory and Yang-Mills Theory	NULL
2+1 Einstein Gravity as a Deformed Chern-Simons Theory	Bicovariant Quantum Algebras and Quantum Lie Algebras
2+1 Einstein Gravity as a Deformed Chern-Simons Theory	Quantum Group Gauge Theories and Covariant Quantum Algebras
2+1 Einstein Gravity as a Deformed Chern-Simons Theory	Poisson Lie Group Symmetries for the Isotropic Rotator
2-D gravisolitons in string theory	NULL
2-D gravity and the extended formalism	NULL
2-Dimensional Turbulence: yet another Conformal Field Theory Solution	Some Additional Solutions of Conformal Turbulence
2-Dimensional Turbulence: yet another Conformal Field Theory Solution	Spectra of Conformal Turbulence
2-Dimensional Turbulence: yet another Conformal Field Theory Solution	The Theory of Turbulence in Two Dimensions
2-Dimensional Turbulence: yet another Conformal Field Theory Solution	Is 2d Turbulence a Conformal Turbulence?
2-Dimensional Turbulence: yet another Conformal Field Theory Solution	Logarithmic Operators in Conformal Field Theory
2-Dimensional Turbulence: yet another Conformal Field Theory Solution	Turbulent Two Dimensional Magnetohydrodynamics and Conformal Field
2-Dimensional Turbulence: yet another Conformal Field Theory Solution	The Exact N-point Generating Function in Polyakov-Burgers Turbulence
2-Dimensional Turbulence: yet another Conformal Field Theory Solution	3-D Perturbations in Conformal Turbulence
2-Dimensional Turbulence: yet another Conformal Field Theory Solution	Duality Invariant Magnetohydrodynamics And Dyons
2-Dimensional Turbulence: yet another Conformal Field Theory Solution	A Rational Logarithmic Conformal Field Theory
2D black holes and effective actions	NULL
2d Model Field Theories at Finite Temperature and Density	Emergence of Skyrme crystal in Gross-Neveu and t Hooft models at finite
2d Model Field Theories at Finite Temperature and Density	String Field Theory of Two Dimensional QCD: A Realization of W-infinity
2d Model Field Theories at Finite Temperature and Density	On Kinks and Bound States in the Gross-Neveu Model
